Stadyum,Ev Sahibi Takım,Deplasman Takım,Tarih/Saat,Organizasyon,Hakemler,Gözlemci,Temsilci
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,ARKENT ARNAVUTKÖY BELEDİYESİ FUTBOL SK,6.12.2025 - 14:00,Nesine 2. Lig (Profesyonel Takım),"ERDEM TEMEL(Hakem), SERVET BOZKURT(1. Yardımcı Hakem), MEHMET ÖZGÜR İŞBİLEN(2. Yardımcı Hakem), BERKAY YAVUZ(Dördüncü Hakem)",MEHMET EMİN BAYDAĞ(Gözlemci),NURULLAH ÖZTÜRK(Temsilci)
ALİ HOŞFİKİRER STADI,ADANASPOR A.Ş.,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,13.12.2025 - 13:00,Nesine 2. Lig (Profesyonel Takım),"ABDULLAH VOLKAN AYDIN(Hakem), HASAN ATA(1. Yardımcı Hakem), ABDULLAH ÖZCAN(2. Yardımcı Hakem), ŞAHİN BERKER(Dördüncü Hakem)",SERTAN BAKAN(Gözlemci),RAMAZAN ALTUNTAS(Temsilci)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,ISBAŞ ISPARTA 32 SPOR KULÜBÜ,17.12.2025 - 14:00,Nesine 2. Lig (Profesyonel Takım),"İBRAHİM GÜNER(Hakem), DENİZCAN ŞAHİN(1. Yardımcı Hakem), KAAN KAYA(2. Yardımcı Hakem), HAKAN AKTAŞ(Dördüncü Hakem)",MEHMET NEVZAT ADAL(Gözlemci),ÜNAL AKÇA(Temsilci)
KIRKLARELİ ATATÜRK,GRANNY'S WAFFLES KIRKLARELİSPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,22.12.2025 - 14:00,Nesine 2. Lig (Profesyonel Takım),,,
MENEMEN İLÇE STADI,MENEMEN FUTBOL KULÜBÜ,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,11.01.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,KUZEYBORU 68 AKSARAY BELEDİYE SPOR,18.01.2026,Nesine 2. Lig (Profesyonel Takım),,,
ATATÜRK SPOR KOMPLEKSİ MATLI STADYUMU,BURSASPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,24.01.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,AKEDAŞ KAHRAMANMARAŞ İSTİKLAL SPOR,28.01.2026,Nesine 2. Lig (Profesyonel Takım),,,
,GÜZİDE GEBZE SPOR KULÜBÜ,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1.02.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,FETHİYESPOR,8.02.2026,Nesine 2. Lig (Profesyonel Takım),,,
KIZILTEPE İLÇE,MARDİN 1969 SPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,15.02.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,ANKARA DEMİRSPOR,22.02.2026,Nesine 2. Lig (Profesyonel Takım),,,
SOMA NAZIM YAVUZ,SOMASPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1.03.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,ALİAĞA FUTBOL A.Ş.,8.03.2026,Nesine 2. Lig (Profesyonel Takım),,,
YENİ MALATYA STADYUMU,YENİ MALATYASPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,15.03.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,KCT 1461 TRABZON FK,25.03.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,MUŞ SPOR KULÜBÜ,29.03.2026,Nesine 2. Lig (Profesyonel Takım),,,
BOLLUCA,ARKENT ARNAVUTKÖY BELEDİYESİ FUTBOL SK,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,5.04.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,ADANASPOR A.Ş.,12.04.2026,Nesine 2. Lig (Profesyonel Takım),,,
ISPARTA ATATÜRK STADI,ISBAŞ ISPARTA 32 SPOR KULÜBÜ,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,19.04.2026,Nesine 2. Lig (Profesyonel Takım),,,
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,GRANNY'S WAFFLES KIRKLARELİSPOR,25.04.2026,Nesine 2. Lig (Profesyonel Takım),,,
